scraped_at,sldc_ts,frequency,escom,biomass_mw,cogen_mw,minihydro_mw,wind_mw,solar_mw,grid_drawal_mw,total_mw
2026-05-07T00:26:46,07/05/2026 00:20:01,49.94,BESCOM,5.0,0.0,3.0,195.0,25.0,204.0,228.0
2026-05-07T00:26:46,07/05/2026 00:20:01,49.94,MESCOM,0.0,0.0,21.0,10.0,0.0,31.0,31.0
2026-05-07T00:26:46,07/05/2026 00:20:01,49.94,CESC,0.0,0.0,20.0,49.0,0.0,72.0,69.0
2026-05-07T00:26:46,07/05/2026 00:20:01,49.94,GESCOM,1.0,9.0,3.0,479.0,19.0,494.0,511.0
2026-05-07T00:26:46,07/05/2026 00:20:01,49.94,HESCOM,0.0,137.0,0.0,547.0,39.0,684.0,723.0
2026-05-07T00:26:46,07/05/2026 00:20:01,49.94,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T00:26:46,07/05/2026 00:20:01,49.94,TOTAL_IPPS,7.0,148.0,46.0,1288.0,0.0,1491.0,1489.0
2026-05-07T00:27:41,07/05/2026 00:20:01,49.94,BESCOM,5.0,0.0,3.0,195.0,25.0,204.0,228.0
2026-05-07T00:27:41,07/05/2026 00:20:01,49.94,MESCOM,0.0,0.0,21.0,10.0,0.0,31.0,31.0
2026-05-07T00:27:41,07/05/2026 00:20:01,49.94,CESC,0.0,0.0,20.0,49.0,0.0,72.0,69.0
2026-05-07T00:27:41,07/05/2026 00:20:01,49.94,GESCOM,1.0,9.0,3.0,479.0,19.0,494.0,511.0
2026-05-07T00:27:41,07/05/2026 00:20:01,49.94,HESCOM,0.0,137.0,0.0,547.0,39.0,684.0,723.0
2026-05-07T00:27:41,07/05/2026 00:20:01,49.94,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T00:27:41,07/05/2026 00:20:01,49.94,TOTAL_IPPS,7.0,148.0,46.0,1288.0,0.0,1491.0,1489.0
2026-05-07T00:28:08,07/05/2026 00:20:01,49.94,BESCOM,5.0,0.0,3.0,195.0,25.0,204.0,228.0
2026-05-07T00:28:08,07/05/2026 00:20:01,49.94,MESCOM,0.0,0.0,21.0,10.0,0.0,31.0,31.0
2026-05-07T00:28:08,07/05/2026 00:20:01,49.94,CESC,0.0,0.0,20.0,49.0,0.0,72.0,69.0
2026-05-07T00:28:08,07/05/2026 00:20:01,49.94,GESCOM,1.0,9.0,3.0,479.0,19.0,494.0,511.0
2026-05-07T00:28:08,07/05/2026 00:20:01,49.94,HESCOM,0.0,137.0,0.0,547.0,39.0,684.0,723.0
2026-05-07T00:28:08,07/05/2026 00:20:01,49.94,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T00:28:08,07/05/2026 00:20:01,49.94,TOTAL_IPPS,7.0,148.0,46.0,1288.0,0.0,1491.0,1489.0
2026-05-07T00:28:46,07/05/2026 00:20:01,49.94,BESCOM,5.0,0.0,3.0,195.0,25.0,204.0,228.0
